ZONA PORTUARIA,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,TOTAL_MOVILIZADO,FECHA,PERIODO_NUM,BALANCE_EXP_IMP,TRIMESTRE,AÑO_INCOMPLETO
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,GENERAL,0,90,301,0,0,0,0,0,2024,9,391,2024-09-01,80,-90,3,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6517,0,0,0,0,0,0,2021,9,6517,2021-09-01,44,-6517,3,0
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,50427,0,0,0,0,0,0,0,2019,12,50427,2019-12-01,23,50427,4,0
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,20868,0,0,2018,9,20868,2018-09-01,8,0,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,106045,80337,0,0,0,0,0,0,2022,3,186382,2022-03-01,50,25708,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,48299,59636,9479,11271,0,896,0,594,2022,6,130175,2022-06-01,53,-11337,2,0
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,21312,20984,0,0,0,0,0,662,2020,5,42958,2020-05-01,28,328,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,0,0,0,0,0,1593,0,0,2018,6,1593,2018-06-01,5,0,2,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,GENERAL,20,123,0,0,0,0,0,0,2019,4,143,2019-04-01,15,-103,2,0
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,5011,16665,0,0,0,0,0,0,2021,1,21676,2021-01-01,36,-11654,1,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL LIQUIDO,5775,7939,0,0,0,0,0,0,2024,7,13714,2024-07-01,78,-2164,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,3164,0,0,0,0,0,0,2020,5,3164,2020-05-01,28,-3164,2,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,73597,0,0,0,2019,8,73597,2019-08-01,19,0,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,170520,0,0,2000,0,0,0,2020,1,172520,2020-01-01,24,-170520,1,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,90925,98936,294512,0,0,3460,0,0,2023,4,487833,2023-04-01,63,-8011,2,0
CARTAGENA,COREMAR SHOREBASE SA,PUBLICO,GRANEL LIQUIDO,0,0,0,0,288,0,0,0,2021,1,288,2021-01-01,36,0,1,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,240775,0,0,0,0,0,0,2022,5,240775,2022-05-01,52,-240775,2,0
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,0,407382,0,0,0,106165,0,0,2022,1,513547,2022-01-01,48,-407382,1,0
CARTAGENA,COREMAR SHOREBASE SA,PUBLICO,GRANEL LIQUIDO,0,0,0,0,443,0,0,0,2019,6,443,2019-06-01,17,0,2,0
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,71019,0,0,0,0,0,0,0,2023,9,71019,2023-09-01,68,71019,3,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,24475,0,0,0,0,0,0,2021,2,24475,2021-02-01,37,-24475,1,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GENERAL,1401,1436,0,0,0,0,0,0,2018,5,2837,2018-05-01,4,-35,2,0
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,4504,0,0,0,0,0,0,2023,7,4504,2023-07-01,66,-4504,3,0
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,7108,2308,0,0,0,0,0,0,2023,3,9416,2023-03-01,62,4800,1,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,0,0,0,2025,8,0,2025-08-01,91,0,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,0,37296,1177,0,0,20,0,0,2023,2,38493,2023-02-01,61,-37296,1,0
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,4775,0,0,2018,3,4775,2018-03-01,2,0,1,0
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,69116,0,0,0,0,0,0,2022,6,69116,2022-06-01,53,-69116,2,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,15083,0,0,0,0,0,0,2018,5,15083,2018-05-01,4,-15083,2,0
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,95250,49500,0,0,0,0,0,0,2022,1,144750,2022-01-01,48,45750,1,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,318,2352,0,0,0,6180,0,0,2018,7,8850,2018-07-01,6,-2034,3,0
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,4798,0,0,0,0,0,0,2023,1,4798,2023-01-01,60,-4798,1,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CONTENEDORES,71032,13434,0,0,0,0,0,0,2023,12,84466,2023-12-01,71,57598,4,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,0,1,551,0,0,0,0,0,2020,12,552,2020-12-01,35,-1,4,0
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,6599,8948,0,0,0,0,0,0,2019,4,15547,2019-04-01,15,-2349,2,0
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,73641,142930,5143,0,0,0,0,0,2021,3,221714,2021-03-01,38,-69289,1,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,37974,0,0,0,0,0,0,0,2023,5,37974,2023-05-01,64,37974,2,0
CARTAGENA,COREMAR SHOREBASE SA,PUBLICO,GENERAL,0,1465,0,0,0,0,0,0,2021,12,1465,2021-12-01,47,-1465,4,0
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,0,282186,0,0,0,263590,0,0,2023,4,545776,2023-04-01,63,-282186,2,0
CARTAGENA,PUERTO DE MAMONAL S.A.,PUBLICO,GENERAL,2516,1073,0,0,0,0,0,0,2025,7,3589,2025-07-01,90,1443,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,CONTENEDORES,0,28,0,0,0,0,0,0,2018,12,28,2018-12-01,11,-28,4,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,3171,0,0,0,0,0,0,2023,9,3171,2023-09-01,68,-3171,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,146012,0,0,0,1037,0,0,2018,6,147049,2018-06-01,5,-146012,2,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GENERAL,0,12602,0,0,0,0,0,0,2018,10,12602,2018-10-01,9,-12602,4,0
BARRANQUILLA,PORTMAGDALENA S.A.,PUBLICO,GRANEL LIQUIDO,28239,53650,0,0,16511,0,0,0,2022,4,98400,2022-04-01,51,-25411,2,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,88069,0,0,0,0,0,0,2023,2,88069,2023-02-01,61,-88069,1,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,48259,0,0,0,0,0,0,0,2025,7,48259,2025-07-01,90,48259,3,0
